restaurant_display,city,am_name,am_email
Waffle Heart,Beograd,,
Restaurant Pizzeria Picasso Palilula,Beograd,,
La Torre Pizza,Beograd,,
TACO BELL UŠĆE,Beograd,,
Rolovane Palačinke,Beograd,,
Qualitas,Beograd,,
Lesko Zalogaj 2,Beograd,,
Ćevabdžinica Savčić Dorćol,Beograd,,
Kuvana jela by Verde,Beograd,,
White Egg Tibet Food,Beograd,,
Bubble Tea La Tea,Beograd,,
FOMIN BAR,Beograd,,
Obrok kod Piroćanca,Beograd,,
Skadarlijske kobasice,Beograd,,
BERGAMOT BAR,Beograd,,
Dorćol Store,Beograd,,
Cafe du Senjak,Beograd,,
Harmonija2GO,Beograd,,
Picerija Galija,Beograd,,
Bad Sushi NBG,Beograd,,
Premium Grill by Verde,Beograd,,
Samovarrs,Beograd,,
Mon Bistro cafeteria,Beograd,,
La Scintilla,Beograd,,
Helga's Pub,Beograd,,
Gyrobar 23,Beograd,,
RAI Urban Vege,Beograd,,
Roštilj kod Bugarina,Beograd,,
TortiLand,Beograd,,
Mikel coffee,Beograd,,
Lav Shawarma,Beograd,,
Mr Keh Zemun,Beograd,,
Klopa Kod Šopa,Beograd,,
R-tiam Uyghur Restaurant,Beograd,,
Oh Dumpling Vračar,Beograd,,
Greenet Line,Beograd,,
Kiklop Zvezdara,Beograd,,
Oklagija Takovska,Beograd,,
Bela Reka,Beograd,,
"KROFNA, ALI DOMAĆA",Beograd,,
Krunska 80,Beograd,,
Domaćica Maja,Beograd,,
Zuma street coffee shop,Beograd,,
Volna Bar,Beograd,,
Kineski bar Spring Belgrade,Beograd,,
Karamela,Beograd,,
Speed Food,Beograd,,
AXIOM,Beograd,,
Boem bar Skadarlija,Beograd,,
Cypress Tacos,Beograd,,
Agi Pasta Away - Gundulićev Venac,Beograd,,
Kiklop Zemun,Beograd,,
Knedly Cara Lazara,Beograd,,
Kuhinjica Bg,Beograd,,
Eggz,Beograd,,
Pomodoro Vidin,Beograd,,
Steco Fabrika Restoran,Beograd,,
